Dystans (m),Wysokość (m)
0,2114.884765625
45.6764922398545,2114.240966796875
91.352984479709,2113.4140625
137.0294767195635,2109.3798828125
182.705968959418,2109.553955078125
228.38246119927248,2111.18798828125
274.058953439127,2111.30322265625
319.7354456789815,2112.23388671875
365.411937918836,2114.8203125
411.08843015869047,2114.76025390625
456.76492239854497,2118.207763671875
502.44141463839946,2121.276123046875
548.117906878254,2122.722900390625
593.7943991181085,2122.54296875
639.470891357963,2121.767822265625
685.1473835978175,2120.777099609375
730.823875837672,2118.965087890625
776.5003680775264,2117.03466796875
822.1768603173809,2121.927001953125
867.8533525572354,2124.64892578125
913.5298447970899,2127.42041015625
959.2063370369444,2131.740234375
1004.8828292767989,2133.58203125
1050.5593215166534,2134.4990234375
1096.235813756508,2135.026611328125
1141.9123059963624,2135.290771484375
1187.588798236217,2135.03271484375
1233.2652904760714,2136.7177734375
1278.941782715926,2137.954833984375
1324.6182749557804,2139.237548828125
1370.294767195635,2140.9794921875
1415.9712594354894,2140.558837890625
1461.647751675344,2139.1484375
1507.3242439151984,2138.39208984375
1553.000736155053,2136.59130859375
1598.6772283949074,2137.1181640625
1644.3537206347619,2134.72314453125
1690.0302128746164,2132.18359375
1735.7067051144709,2137.212890625
1781.3831973543254,2142.69873046875
1827.0596895941799,2144.40576171875
1872.7361818340344,2146.985107421875
1918.4126740738889,2147.380859375
1964.0891663137434,2147.816650390625
2009.7656585535979,2149.1962890625
2055.442150793452,2150.8916015625
2101.118643033307,2151.949462890625
2146.7951352731616,2150.926025390625
2192.471627513016,2148.6171875
2238.14811975287,2150.562255859375
2283.824611992725,2152.979736328125
2329.5011042325796,2154.173095703125
2375.177596472434,2156.33349609375
2420.854088712288,2157.833251953125
2466.530580952143,2158.850341796875
2512.2070731919976,2161.610595703125
2557.883565431852,2162.860107421875
2603.560057671706,2161.13525390625
2649.236549911561,2158.1572265625
2694.9130421514155,2158.3369140625
2740.58953439127,2160.35693359375
2786.266026631124,2161.50439453125
2831.942518870979,2162.44970703125
2877.6190111108335,2161.591796875
2923.295503350688,2161.455078125
2968.971995590542,2163.20068359375
3014.648487830397,2163.90087890625
3060.3249800702515,2164.17578125
3106.001472310106,2165.21826171875
3151.67796454996,2168.732421875
3197.354456789815,2170.879150390625
3243.0309490296695,2171.06494140625
3288.7074412695238,2170.470947265625
3334.383933509378,2165.678466796875
3380.0604257492328,2163.21435546875
3425.7369179890875,2159.97216796875
3471.4134102289418,2157.65869140625
3517.089902468796,2154.404296875
3562.7663947086508,2160.98876953125
3608.4428869485055,2164.415283203125
3654.1193791883597,2166.147705078125
3699.795871428214,2166.059814453125
3745.4723636680687,2164.798095703125
3791.1488559079235,2161.648681640625
3836.8253481477777,2159.587158203125
3882.501840387632,2164.907958984375
3928.1783326274867,2165.35595703125
3973.8548248673414,2164.85693359375
4019.5313171071957,2165.021484375
4065.20780934705,2167.76611328125
4110.884301586904,2170.12060546875
4156.560793826759,2172.297119140625
4202.237286066614,2173.3857421875
4247.913778306468,2170.814453125
4293.590270546323,2167.727294921875
4339.266762786177,2167.91943359375
4384.943255026032,2169.614501953125
4430.619747265886,2165.483154296875
4476.29623950574,2147.8623046875
4521.972731745595,2129.723876953125
4567.64922398545,2112.064208984375
4613.325716225304,2092.52197265625
4659.002208465159,2052.78076171875
4704.678700705013,2002.517822265625
4750.355192944868,1956.17236328125
4796.031685184722,1900.43212890625
4841.708177424576,1852.128662109375
4887.384669664431,1818.701782226562
4933.061161904286,1826.131591796875
4978.73765414414,1833.12255859375
5024.414146383995,1830.482788085938
5070.090638623849,1816.514038085938
5115.767130863704,1800.333984375
5161.443623103558,1784.064575195312
5207.120115343412,1773.509521484375
5252.796607583267,1757.560546875
5298.473099823122,1721.5859375
5344.149592062976,1686.801147460938
5389.826084302831,1651.216186523438
5435.502576542685,1596.620483398438
5481.17906878254,1568.204711914062
5526.855561022394,1577.7607421875
5572.532053262248,1588.988037109375
5618.208545502103,1578.209716796875
5663.885037741958,1544.046752929688
5709.561529981812,1530.464965820312
5755.238022221667,1478.30712890625
5800.914514461521,1407.044799804688
5846.591006701376,1357.318969726562
5892.26749894123,1338.525146484375
5937.943991181084,1312.879272460938
5983.620483420939,1296.721557617188
6029.296975660794,1273.7041015625
6074.973467900648,1246.030395507812
6120.649960140503,1229.175537109375
6166.326452380357,1214.285522460938
6212.002944620212,1194.41064453125
6257.679436860066,1179.932373046875
6303.35592909992,1167.135131835938
6349.032421339775,1154.809814453125
6394.70891357963,1159.3798828125
6440.385405819484,1161.5029296875
6486.061898059339,1164.182006835938
6531.738390299193,1175.439819335938
6577.4148825390475,1176.974731445312
6623.091374778902,1178.586547851562
6668.767867018756,1182.1083984375
6714.444359258611,1184.339599609375
6760.1208514984655,1198.945678710938
6805.79734373832,1189.899169921875
6851.473835978175,1201.162963867188
6897.150328218029,1193.491333007812
6942.8268204578835,1197.21484375
6988.503312697738,1189.5517578125
7034.179804937592,1176.5126953125
7079.856297177447,1162.29833984375
7125.5327894173015,1159.71435546875
7171.209281657156,1151.75439453125
7216.885773897011,1157.501586914062
7262.562266136865,1162.226806640625
7308.2387583767195,1182.32421875
7353.915250616574,1190.623657226562
7399.591742856428,1192.087524414062
7445.268235096283,1182.454833984375
7490.9447273361375,1197.382202148438
7536.621219575992,1230.322998046875
7582.297711815847,1227.61572265625
7627.974204055701,1218.553466796875
7673.6506962955555,1218.152465820312
7719.32718853541,1221.543212890625
7765.003680775264,1220.13037109375
7810.680173015119,1216.3408203125
7856.356665254973,1214.071411132812
7902.033157494828,1227.36474609375
7947.709649734683,1237.955200195312
7993.386141974537,1221.045288085938
8039.062634214391,1205.584594726562
8084.739126454246,1194.989135742188
8130.4156186941,1190.841674804688
8176.092110933955,1190.793090820312
8221.768603173809,1196.024780273438
8267.445095413665,1193.211181640625
8313.121587653519,1188.468994140625
8358.798079893373,1184.021850585938
8404.474572133227,1179.597900390625
8450.151064373082,1174.313720703125
8495.827556612936,1180.23583984375
8541.50404885279,1182.028686523438
8587.180541092646,1176.329223632812
